SalePrice,LotArea,OverallCond,YearBuilt,TotalBsmtSF,LivingArea
285000,11134,5,1992,1390,3615
260000,4835,5,2004,1488,2976
190000,3515,5,2004,840,2520
155000,3215,5,2004,600,1800
151000,3182,5,2004,600,1800
149500,2544,5,2004,600,1800
152000,2544,5,2005,600,1836
222000,4403,5,2009,1470,2948
177500,2117,5,2000,756,2329
177000,2980,5,2000,756,2268
155000,2572,5,1999,696,2112
147110,2403,5,2003,530,1610
267916,12853,5,2010,1642,3060
254000,7379,5,2000,975,2823
155000,4420,5,1980,728,1516
206000,3880,6,1978,1226,2452
130500,13517,8,1976,725,2204
230000,8000,5,2002,1492,2984
218500,10456,6,1967,1829,3658
243500,10791,5,1993,1280,3775
205000,10603,7,1977,1610,3220
212500,18837,5,1978,1224,3115
196500,10421,5,1988,980,2694
197500,9360,7,1972,1161,2542
171000,9600,6,1971,715,2360
142250,9600,5,1966,1232,2464
143000,9790,5,1963,1328,2656
128950,9320,5,1959,950,2175
159000,9900,5,1966,1209,2418
178900,9680,6,1967,1510,3020
136300,10600,5,1964,533,2308
180500,14112,7,1964,1152,2304
137500,8800,7,1963,936,1990
84900,13260,6,1962,1728,3456
142125,9717,6,1950,1078,2156
197600,9724,7,1952,1140,3601
172500,17360,6,1949,782,2338
116500,7207,7,1958,858,1716
76500,5350,2,1940,728,2034
128000,9920,5,1954,1056,2119
153000,9600,6,1955,1156,2676
132000,7800,6,1954,1268,2536
178000,11380,8,1966,1080,2208
154300,11600,5,1960,1105,3379
180000,19900,5,1970,1947,4154
190000,16492,6,1966,1517,3405
135000,8267,5,1958,1604,3208
214000,8197,5,2003,1480,2960
136000,8050,5,1959,1143,2286
165500,10552,5,1959,1398,3098
145000,8400,6,1957,1314,2628
148000,8760,6,1959,1194,2388
142000,12160,5,1959,1188,2376
167500,9300,5,1960,1268,2532
108538,10725,5,1959,1206,2412
159500,10032,5,1959,1244,2824
108000,8382,5,1956,832,2169
135000,10950,7,1952,864,1928
122500,10895,6,1955,972,1944
119000,13587,5,1958,988,1976
109000,7922,7,1953,1057,2114
105000,7898,7,1920,576,1561
107500,7200,7,1955,0,827
144900,10200,7,1954,1086,2172
129000,5868,7,1956,936,1872
97500,17503,5,1948,912,2370
144000,6979,5,1980,1056,2112
162000,9830,7,1959,1063,2350
242000,11275,7,1967,710,3688
132000,8064,8,1948,816,2040
154000,7500,7,1959,1246,2492
166000,8520,4,1952,910,2295
134800,7200,7,1951,900,1800
160000,10000,6,1962,1116,2232
148000,7635,6,1960,1175,2350
192000,9760,7,1963,1395,2790
155000,7700,5,1966,756,2595
80400,4800,5,1900,709,2553
96500,8800,7,1910,576,1716
109500,4485,7,1920,936,1872
115000,8960,6,1927,1008,2036
143000,5805,7,1957,1347,2694
107400,5790,6,1915,840,2445
80000,4608,6,1945,747,1494
119000,7200,7,1940,788,1592
130000,5500,7,1929,926,1852
119000,6900,7,1938,827,2078
129000,11851,7,1948,1027,2660
1.00E+05,8239,6,1920,1008,2253
12789,9656,2,1923,678,1510
105900,8520,8,1928,624,1344
150000,9600,9,1900,930,2496
139000,10800,6,1915,686,2338
240000,9000,9,1890,346,2614
76500,9045,3,1910,840,3096
149700,7407,7,1957,912,2148
125500,7740,7,1910,622,1985
122500,11340,6,1885,777,3067
140750,10560,7,1922,738,2208
128500,5830,6,1950,988,2600
209500,7793,7,1922,1108,3176
87000,5000,7,1925,765,1530
134000,6000,7,1939,608,1740
128000,6000,6,1940,572,1768
132000,6360,6,1942,835,2288
139900,6000,7,1948,780,2196
123900,6240,7,1936,528,1568
138400,6240,5,1930,928,2464
109500,6120,5,1923,1124,2192
140000,10300,6,1921,576,2286
149500,8094,5,1915,888,2850
159900,12900,8,1912,780,2340
122000,3068,8,1920,662,1986
110000,8472,5,1963,816,1632
55000,5600,5,1930,0,1092
140000,7630,9,1900,360,2172
244400,24090,7,1940,1032,3435
173000,15263,5,1959,1422,3097
107500,10632,3,1917,689,1913
1.00E+05,9900,4,1915,1212,2604
95000,6001,5,1940,600,1519
93369,6449,1,1907,707,2591
114900,6048,7,1910,856,2536
94000,6342,8,1875,780,1800
136000,10773,3,1967,1832,3664
136500,10778,5,1968,1768,3536
131500,11625,4,1965,1039,2078
121500,11341,6,1957,1392,2784
125000,8521,5,1967,912,1824
154000,8246,8,1968,1060,2120
137900,7800,7,1966,864,1756
158000,9364,7,1969,663,2015
137250,7832,5,1968,864,1728
160250,7424,5,1978,1319,2692
163000,11227,5,1968,720,2160
158900,11616,5,1978,672,2058
328000,14000,5,1996,1306,3566
270000,20062,7,1977,1420,2903
85000,9259,4,1927,660,1416
128000,9600,7,1950,1067,2134
260000,23595,6,1979,1332,2856
230000,17082,5,1978,1117,3098
124000,18600,4,1938,972,2582
83000,10625,5,1920,458,1293
144500,11479,7,1950,663,1737
129000,9571,6,1956,1144,2288
127000,9350,6,1947,756,1925
128000,9525,7,1954,1172,2344
186000,10420,5,2009,1212,2424
308030,17485,5,2009,1508,3016
114000,11200,3,1964,1250,2548
84900,11100,7,1946,0,930
178000,9206,5,1985,741,2473
270000,11980,5,1987,1433,2866
218000,12361,7,1993,946,2748
236000,9938,5,1993,1050,2999
147000,9069,6,1992,936,1932
245350,10475,5,2008,1694,3388
206000,6762,5,2006,1187,2395
198900,10402,5,2009,1226,2452
187000,7360,5,2010,1222,2444
320000,12376,5,1990,1673,4895
138500,14235,8,1900,676,2121
155000,8816,7,1971,1010,2062
159000,11105,5,1996,870,1835
191000,9337,5,1997,878,2570
200500,8750,5,1998,804,2486
150000,15240,8,1977,1026,2052
161750,10900,7,1977,689,2081
128200,10650,6,1976,894,1788
127000,7480,6,1972,876,1752
318000,10389,5,2003,1978,3956
272000,11423,5,2001,1581,3182
237000,9548,6,2003,941,2770
240000,9375,5,1997,1040,3138
224900,12137,5,1998,1649,3310
143750,4435,5,2003,848,1696
143000,4426,5,2004,848,1696
232000,10635,5,2003,1657,3325
213000,8400,5,2004,1473,2957
185500,8773,5,2004,1414,2828
84900,8777,6,1945,0,640
155891,8842,6,1954,381,1373
1.00E+05,9825,5,1965,0,1664
144000,10044,6,1968,1196,2392
64000,11792,5,1948,744,1864
125200,6305,6,1975,1008,2104
107000,7819,5,1976,1029,2146
90000,6410,5,1958,960,1920
140000,8546,5,2003,1121,2242
113000,8741,4,1945,735,2222
80000,12180,4,1941,672,1596
144500,8562,6,1957,1216,2742
104000,4853,6,1924,1107,2403
128000,6858,4,1915,806,2453
58500,8212,3,1914,864,1728
127000,5000,6,1924,1026,2717
126000,7890,6,1939,856,1712
160000,7200,6,1967,0,2650
1.00E+05,9839,2,1931,894,2560
169000,9638,7,1919,804,3251
257500,10452,6,1941,1528,3661
215000,15600,6,1950,1032,3209
266500,9042,9,1941,1152,3492
335000,17500,8,1959,1902,3804
203135,19645,6,1994,423,2075
185000,3907,6,1989,982,2016
162500,3907,5,1989,1191,2382
289000,15602,8,1959,1501,3302
125500,5436,8,1922,796,1950
82000,8154,5,1941,480,1020
110000,9140,5,1921,629,1736
68400,7500,4,1920,698,1826
102776,8712,7,1900,859,2037
55993,8712,5,1952,540,1584
50138,8712,7,1896,756,1708
246000,3811,5,2004,1594,3240
254900,11050,5,1998,1049,2965
190000,9620,7,1977,1243,2528
201000,9196,5,2003,1560,3120
169900,12328,5,1976,1012,2046
170000,12760,5,1976,1958,4006
160000,57200,5,1948,747,2434
220000,11896,5,2008,1336,2682
179781,9803,5,2009,1214,2428
174000,9802,5,2006,384,1828
269500,12003,5,2009,774,2742
214900,11316,5,2002,817,2711
202900,14191,5,2002,967,2875
378500,13214,5,2008,2002,4020
169000,15300,5,1965,1068,2332
173500,10114,5,2004,1430,2860
139000,9400,5,1971,912,2736
166500,11875,5,1999,1344,2688
83500,1974,5,1973,546,1638
119500,2394,6,1973,945,1890
85000,2592,3,1976,536,1648
76000,1476,7,1970,546,1638
75500,1491,6,1972,630,1260
88250,1900,4,1970,546,1638
85500,1890,6,1972,546,1638
130000,6953,7,1971,864,1738
157900,26142,7,1962,1188,2376
149900,12887,7,1984,833,1666
159000,7700,2,1985,1216,3648
136000,10475,5,1991,624,1898
161000,10544,5,1969,864,2343
285000,9892,5,1994,1679,3482
231000,12961,5,1993,1152,2949
124500,13008,5,1956,882,1764
157000,10200,5,1974,1434,2868
345000,13860,7,1972,1952,4656
189500,10179,5,1997,945,2553
270000,11792,5,2003,1008,3291
189000,8400,5,1996,384,2012
377500,14892,5,2006,1746,3492
168500,8530,5,1995,384,1858
375000,7296,5,2004,2208,4730
278000,5664,5,2000,1501,3160
240000,7380,5,1998,1418,2896
239500,8013,5,1995,1587,3321
177500,8923,5,1998,384,1766
185000,10141,5,1998,832,2550
191000,7500,5,1998,952,2588
178000,7837,7,1993,799,2370
185000,9765,8,1993,680,2150
181316,8803,5,1994,707,2223
166000,7250,5,1993,1181,2371
178000,9636,5,1992,808,2401
174000,8125,5,1994,702,2183
173000,9248,6,1992,1158,2325
225000,10762,5,1999,978,2961
180500,11851,5,1990,1424,2866
187500,5814,5,1984,1220,2580
501837,17423,5,2008,2216,4450
372500,11844,5,2008,2046,4092
260000,16158,5,2005,1530,3060
185000,11900,6,1977,1122,3056
260000,13005,7,1980,845,3198
181000,17043,5,1979,1362,2948
82500,11900,5,1977,1386,2797
215000,16635,7,1977,1602,3204
154000,13250,6,1978,832,2882
2.00E+05,10928,6,1978,1427,3098
249000,12388,7,1980,1043,3716
187500,14115,5,1980,1372,2844
184000,11088,5,1978,1140,2847
278000,9600,5,1981,2524,5048
157000,11880,5,1978,1271,2872
152000,10400,5,1976,1090,2460
197500,10304,7,1976,780,2648
240900,7000,5,2003,926,2810
263435,8004,5,2009,832,2767
220000,7500,5,2000,1058,2932
235000,8470,5,2002,972,2783
213000,9373,7,1975,1621,3242
167900,10140,6,1974,1116,2232
158000,11050,5,1975,1176,2369
165000,10140,5,1974,1064,2414
158000,10448,6,1972,689,2808
136000,9000,5,1974,896,2688
148500,8750,6,1970,1002,2004
156000,7930,8,1969,1026,2052
128000,7830,5,1970,1180,2360
143000,8510,7,1971,1043,2093
76500,7038,6,1970,864,1728
120500,6960,6,1970,864,1728
124500,8120,7,1970,864,1728
97000,10500,6,1971,864,1728
130000,9000,7,1971,864,1728
111000,1680,5,1973,483,1470
125000,2368,6,1970,765,2130
112000,1680,5,1971,630,1932
97000,1680,6,1972,483,1470
118000,1680,8,1972,483,1470
119500,1680,7,1972,630,1932
143750,4928,6,1976,958,1916
146000,2308,5,1976,804,2352
148500,2280,6,1976,855,2311
123000,2280,5,1975,1057,2112
147000,2308,5,1974,855,2177
137900,2349,5,1977,855,2311
147000,2364,5,1978,804,2352
148500,2289,6,1978,855,2296
138000,2364,5,1978,855,2311
128500,2104,6,1976,836,1672
1.00E+05,7150,5,1967,892,1784
148800,10710,7,1966,864,1984
337500,12456,5,2006,1700,3418
462000,14257,5,2007,1776,4548
485000,13518,5,2008,1926,5066
555000,15431,5,2008,3094,5496
325000,13173,5,2006,1652,3304
256300,14230,5,2007,1566,3166
253293,12704,5,2008,2042,4084
398800,12350,5,2009,1365,4055
335000,11308,5,2008,1104,3288
404000,12350,5,2008,2020,4040
402861,12220,5,2009,2006,4026
451950,13478,5,2008,1722,4018
610000,13693,5,2007,2630,5304
582933,13891,5,2008,1734,4556
360000,11578,5,2008,1736,3472
296000,16870,5,2004,1782,3564
409900,23303,5,2007,1508,4028
255500,11146,5,2006,1709,3426
335000,10367,5,2008,1739,3482
274900,9591,5,2004,1713,3426
3.00E+05,10872,5,2006,1504,3035
324000,13514,5,2008,1774,3582
350000,8834,5,2004,1462,3686
280000,11362,5,2004,1836,3672
284000,10655,5,2003,3206,4835
269500,12878,5,2003,1760,3520
233170,9541,5,2009,1502,3004
386250,13472,5,2003,2392,4784
445000,15274,5,2003,2452,4904
290000,13262,5,2003,1082,3482
255900,9658,5,2006,1598,3204
213000,6904,5,2005,1358,2716
196000,5381,5,2005,1306,2612
184500,5122,5,2005,1306,2612
212500,10307,5,2007,1350,2708
230000,5001,5,2007,1314,2628
552000,14836,5,2004,2492,4984
382500,15262,5,2003,2200,4400
320000,7390,5,2008,1884,3768
248500,6472,5,2008,1451,2907
286500,16770,5,2002,1712,3424
254000,6240,5,2006,1324,2648
173000,3480,5,2003,1405,2810
173000,2268,5,2003,764,2390
184000,10928,5,2005,728,2184
167800,8918,5,2005,745,2235
174000,12589,5,2005,742,2226
174000,11911,5,2005,684,2244
174000,3684,5,2007,1373,2928
175900,3635,5,2007,1386,2955
192500,3182,5,2005,1373,2928
181000,3182,5,2005,1346,2850
180000,3182,5,2005,1220,2440
160200,3182,5,2005,1145,2290
188500,7795,5,2004,716,2148
2.00E+05,8068,5,2002,1010,3277
170000,9434,5,2004,384,1758
189500,7984,5,2004,868,2498
184100,7750,5,2002,408,1827
195500,10125,5,2004,846,2440
192000,8965,5,2003,782,2271
178000,8174,5,2003,698,2040
207500,5063,5,2007,1314,2628
236000,8795,5,2000,952,3208
257500,12891,5,2002,870,2874
244000,12224,5,2000,992,3046
167000,9734,5,2004,384,1758
179000,8123,5,2000,982,2782
190000,8433,5,2000,794,2308
156000,7750,5,1999,384,1814
245000,15896,5,1999,1177,3489
181000,24682,5,1999,841,2516
214000,8755,5,1999,992,3052
168000,7848,6,1999,384,1814
337000,9430,5,1999,1252,3617
403000,15138,5,1995,1462,4256
327000,12720,5,2000,1455,4142
340000,16545,5,1998,1284,3734
336000,12203,5,1998,1225,3837
265000,10208,5,1996,1264,3608
315000,10750,5,1994,2024,4087
260000,9900,5,1993,1347,3993
260000,9085,5,1995,1070,3131
263550,11692,5,1993,1173,3405
402000,46589,7,1994,1629,4077
248000,29959,6,1994,973,2823
244600,9612,5,2008,1468,2936
275000,11194,5,2008,1696,3392
257500,10206,5,2008,1614,3272
287090,9262,5,2008,1573,3151
275500,10130,5,2007,1702,3404
245000,9139,5,2006,1422,2854
253000,9675,5,2005,1113,3084
468000,11128,5,2005,2458,4948
252678,8640,5,2009,900,2752
210000,9000,5,2008,768,2358
208300,7862,5,2009,1218,2436
225000,7993,5,2008,1436,2872
229456,8640,5,2009,1300,2614
229800,8640,5,2008,1402,2804
250000,12606,5,2007,1530,3060
370878,9187,5,2009,1766,3532
238500,7500,5,2006,1372,2820
310000,11003,5,2008,1017,3024
270000,10603,5,2006,900,2695
252000,10574,5,2005,1082,3035
241000,8125,5,2006,1092,2642
264500,8125,5,2008,1836,3672
291000,10625,5,2006,1652,3314
263000,9375,5,2003,912,3006
185000,7500,5,2004,1221,2442
234500,8736,5,2003,1553,3106
209000,8127,5,2003,812,2465
159000,9605,6,2007,1218,2436
152000,7500,5,2006,1141,2282
143500,7500,5,2004,1158,2316
193000,10628,5,2004,835,2647
203000,10141,5,2004,1512,3024
184900,10083,5,2003,1176,2376
159000,13072,5,2004,1114,2228
142000,13072,5,2004,1114,2228
153000,12450,5,2003,1114,2228
224243,7328,5,2008,1450,2900
220000,11492,5,1996,913,3035
257000,10994,5,2005,1844,3688
189000,8529,5,2001,1454,2888
171500,7703,6,1992,816,2546
120000,10762,6,1980,626,1843
145000,7175,5,1990,1332,2664
184000,9109,5,1994,754,2294
162000,10274,7,1986,676,2076
160000,8250,7,1981,0,1882
82000,8400,4,1950,721,1562
76000,9000,3,1928,784,1568
110000,9750,5,1962,980,1960
135000,7064,6,1977,980,1960
141000,8499,6,1961,864,1728
122000,9079,5,1961,864,1728
124100,9316,5,1965,1024,2044
129000,7791,8,1963,912,1824
131400,10000,6,1961,864,2008
62383,8281,5,1965,864,1728
123000,7150,6,1962,912,1824
275000,15676,8,1980,2014,4028
235000,11949,8,1991,975,2730
280750,2880,5,2004,1376,4381
164500,3951,5,2009,612,1836
173733,3000,5,2009,612,1836
222000,3830,5,2008,1726,3452
195000,4217,5,2008,1145,2401
172500,3230,5,1999,729,2200
180000,2998,5,2000,756,2268
156000,3768,5,1999,691,2143
172500,2645,5,1999,970,2709
318750,14694,9,1977,1694,3388
211500,3782,5,1981,1226,2452
241600,15417,5,1981,1740,3480
180500,9600,5,1976,392,2891
150000,9991,4,1976,1281,2901
154000,11700,6,1968,727,2283
185000,11717,6,1970,1442,2884
185750,9156,7,1968,1489,2978
2.00E+05,10382,6,1973,1107,3197
206000,12732,6,1974,752,2819
162000,12936,6,1972,723,2118
256900,10400,7,1967,932,3572
197900,17871,5,1967,1680,3404
163000,9600,5,1969,1288,2624
113000,9000,5,1969,1216,2432
230000,13774,7,1977,908,3196
167900,9650,5,1977,1350,2684
213250,10140,5,1998,1650,3330
227000,8400,6,2001,810,2475
130000,7130,6,1967,864,1728
143000,9600,5,1967,1568,3136
117500,9100,6,1965,925,1850
168500,9600,5,1974,1165,3226
172500,16500,5,1971,1232,2552
161500,9790,5,1967,1372,2714
141500,7436,7,1960,894,1788
118000,8125,7,1959,864,1728
127500,9100,6,1959,864,1728
140000,9450,5,1957,1040,2402
177625,13495,6,1956,1048,2776
110000,11475,5,1958,1584,3360
167000,10004,6,1964,1516,3032
153000,9350,6,1961,1313,2626
145100,10500,5,1964,1292,2584
154000,11000,6,1966,1154,2308
177500,8970,6,1965,744,2884
158000,12095,6,1964,1127,2572
124500,9600,6,1959,1041,2082
174500,11475,6,1961,1208,2784
122000,9768,5,1955,960,1920
82500,5330,7,1940,420,1128
110000,7015,4,1950,709,1912
149500,12160,4,1953,1505,3010
175000,9900,5,1967,1680,3371
167000,9600,5,1953,1416,3060
128900,9600,6,1956,1050,2100
140000,9600,8,1950,856,2524
147000,9600,7,1950,1113,2226
124000,8944,5,1967,1584,3168
187500,10573,6,1961,1453,2906
159000,9500,5,1963,1394,2788
256000,14695,8,1966,1562,3129
205000,13600,6,1965,768,2754
193500,13000,6,1968,896,3038
110000,13560,3,1968,1392,2784
104900,12513,4,1920,715,2453
150000,8760,7,1956,1169,2313
156500,8400,3,1957,1478,2956
176000,12285,6,1960,1329,2658
149500,9240,8,1959,988,1976
139000,9600,6,1958,1240,2872
155000,12400,7,1958,1215,2430
120000,8750,5,1956,1202,2404
153000,8750,5,1955,1382,2764
144000,10400,5,1956,1200,2400
176000,19296,5,1962,1362,2744
153000,8532,6,1954,1297,2594
135000,9482,4,1958,1866,3732
131000,8128,7,1954,1062,2124
123000,10634,6,1953,608,1927
126000,13070,5,1951,631,1743
115000,10434,5,1955,1005,2010
164900,14559,7,1951,1008,2371
113000,8480,6,1945,793,1586
145500,7626,8,1952,1031,2062
102900,9533,5,1953,0,1210
95000,10615,5,1900,978,2677
152500,11419,7,1948,699,2226
129900,9600,6,1950,1200,2400
132000,8000,6,1948,972,1944
99900,5470,5,1958,792,1584
135000,10410,7,1916,660,2172
149000,10800,7,1939,676,2028
114000,8146,8,1900,405,1444
109500,9022,8,1924,768,1560
125000,10230,7,1925,1054,2132
142900,10410,5,1915,1313,2626
156500,7200,9,1910,560,2250
59000,5400,5,1940,416,1015
105000,5400,6,1920,840,2214
106000,10800,7,1920,720,1566
78500,10800,5,1890,630,1355
190000,9671,5,1969,1248,3792
154000,10143,7,1963,1380,2760
163000,11500,4,1967,1040,2080
2.00E+05,11643,5,1969,1248,3882
143500,8010,9,1958,951,1902
135000,10454,6,1957,1105,2210
153000,8712,7,1957,992,2298
157500,17600,5,1960,1478,2956
113500,9000,6,1958,160,1302
133000,12144,7,1949,832,1868
92900,8544,4,1950,0,1040
128500,8064,5,1950,795,1928
90000,7200,5,1949,0,1040
138000,7200,4,1950,1208,3112
128000,7350,6,1958,1041,2082
139000,7560,6,1958,1029,2368
118900,7200,7,1952,732,1464
138000,8000,5,1959,528,1711
132500,7931,5,1959,1148,2296
133500,10800,7,1949,832,2293
135000,8064,7,1948,864,1928
144750,7570,5,1964,780,2586
145000,8604,7,1978,941,1882
127000,7936,6,1963,1045,2090
109500,6600,5,1962,894,1788
115000,3950,8,1926,818,2042
110000,10440,6,1910,440,1670
128900,4080,8,1935,901,2279
103500,10307,5,1910,972,2916
66500,5720,6,1941,676,1807
130000,15660,8,1910,240,1546
129000,9900,8,1910,504,1968
150000,6406,6,1939,690,2248
107500,6600,4,1892,994,3366
94550,7627,6,1920,600,2301
124500,7596,5,1952,960,2920
135000,3378,8,1946,651,2040
103000,10134,5,1910,801,2248
93000,6000,4,1953,936,1872
129500,6000,7,1950,768,2096
93000,6000,4,1954,811,2198
80000,7404,6,1920,861,1722
45000,5925,4,1940,0,612
37900,5925,6,1910,600,1568
91300,5784,8,1938,190,1076
99500,8520,8,1923,624,1416
113000,4456,5,1920,736,2188
87500,9600,4,1910,677,2187
110000,3500,7,1947,720,2004
106000,8100,5,1898,849,2987
265979,11700,7,1880,1240,3880
160000,8400,7,1900,917,2924
119000,3600,7,1917,624,1912
168000,17671,9,1882,916,2658
58500,3300,3,1910,624,1440
143000,9000,9,1920,650,2132
85000,7200,4,1910,1022,2044
124900,8820,6,1890,1088,2837
119000,5400,6,1920,972,2016
146500,9720,7,1910,741,2262
34900,7879,5,1920,720,1440
44000,9392,3,1900,245,1042
223500,21384,6,1923,1324,2900
149000,6615,6,1923,1022,2454
205000,7264,7,1925,952,2500
137000,4960,7,1930,297,1951
121000,8854,6,1916,952,1904
128000,6000,6,1936,672,1996
134900,6000,9,1937,698,1874
117000,6000,8,1925,884,2232
132500,6000,6,1939,780,2192
93000,6000,5,1924,468,1610
119000,6000,7,1926,884,1788
1.00E+05,6911,5,1924,1145,2446
141500,6120,6,1936,927,2466
133000,6120,7,1935,884,2457
60000,6120,3,1936,264,1064
105000,6120,7,1931,715,1590
115000,6120,6,1925,960,1955
150000,6120,6,1938,952,2534
126500,8635,5,1925,1072,2144
214500,11888,6,1916,844,2978
167500,11414,8,1910,728,2747
155000,8094,6,1915,1048,2816
155000,2500,8,1915,910,2736
179900,9928,8,1915,672,2616
104000,5520,6,1912,755,2613
62500,3000,1,1922,1040,3168
149000,6876,5,1927,720,2650
103000,6240,5,1925,780,1628
123000,5775,7,1915,483,1910
97500,5852,5,1902,1020,2884
135000,5160,6,1927,1204,2870
70000,5160,6,1923,858,1750
116000,10320,7,1915,698,2101
88750,4280,9,1946,560,1264
179000,10800,5,1987,1200,2400
179000,10800,5,1987,1200,2400
159900,10547,5,1978,1152,2304
61000,10020,1,1922,683,1587
103600,6629,6,1925,672,2041
63000,9780,3,1934,585,1697
175000,12886,6,1963,520,1984
139000,8816,6,1963,1121,2242
172500,11184,5,1978,918,2601
113500,11625,6,1967,1052,2104
130000,7800,7,1967,864,1763
149900,8014,5,1978,456,1490
134900,7252,5,1982,858,1716
137000,8740,6,1982,840,1700
139000,11616,5,1962,1092,2184
165000,15400,5,1961,552,2067
148000,15312,5,1960,1138,2276
165000,15584,5,1956,825,2896
63900,9000,2,1947,0,660
161500,11250,5,1957,1104,2892
143000,25095,8,1968,1437,2910
135000,17140,6,1956,1134,2363
82500,12342,5,1940,861,1722
190000,10708,5,1955,1617,3484
139600,13680,5,1955,0,1733
122000,15635,5,1954,0,1383
127500,9855,5,1956,1436,3125
121500,9571,5,1956,1073,2146
60000,9571,3,1958,1276,2552
154400,9350,7,1946,747,2386
113000,9340,6,1941,672,1344
125000,7440,6,1954,1089,2178
84000,11500,3,1957,0,845
139500,4235,5,1984,1049,2098
131000,11409,4,1949,768,2484
105000,9060,5,1939,560,1818
108000,9084,5,1940,755,2265
162000,10778,6,1990,1054,2115
156500,19255,5,1983,520,1858
316600,12327,8,1983,1496,3628
271900,14684,7,1990,2158,4354
213000,9317,5,1993,740,2515
239900,10560,5,1993,1079,2958
239500,9828,5,1995,1128,3148
131000,26400,7,1880,0,2016
118964,7018,5,1979,0,1535
153337,7018,5,1979,1086,2310
147983,7018,5,1979,0,2228
118858,7018,5,1979,0,1535
118858,7018,5,1979,0,1535
142953,7018,5,1979,0,2240
148325,7040,5,1979,1094,2323
113722,7007,5,1979,0,1513
269500,11855,5,2000,1168,3955
269500,7939,5,2000,1168,3955
269500,7976,5,2000,1168,3955
323262,10933,5,2009,1555,3235
297000,10637,5,2007,1705,3423
295493,10226,5,2008,1622,3252
332000,10816,5,2008,1720,3440
239900,9178,5,2008,1468,2936
212000,10769,5,2007,866,2634
272500,11422,5,2007,1838,3676
239000,11923,5,2007,1800,3600
220000,8814,5,2006,1604,3208
2.00E+05,6762,5,2007,1282,2572
221800,10324,5,2008,1254,2508
194500,7314,5,2007,1232,2464
237000,11645,5,2005,1498,2996
173000,11646,5,2005,704,2126
275000,12800,5,1989,1518,3162
233500,16698,5,1992,1449,3208
185000,28698,5,1967,1013,3139
152000,12464,5,1996,1040,2080
143000,9757,7,1994,990,1980
231500,15426,5,1997,928,2692
212000,10667,6,1996,799,2460
207000,14753,5,1998,1463,2926
